customer_id,first_name,last_name,email,phone,gender,birth_date,registration_date,loyalty_points,age,age_group,customer_tenure_days,customer_tenure_months,customer_tenure_years,registration_year,registration_quarter,registration_month,registration_weekday,registered_on_weekend,loyalty_segment,loyalty_tier,is_senior,is_young_customer,is_adult,is_long_term_customer,is_new_customer,loyalty_points_per_year,email_domain
594,Aarav,Gupta,aarav.gupta594@gmail.com,9768571484,Male,1991-04-19,2022-11-14,2849,34,26-35,1144,38.1,3.13,2022,4,November,Monday,0,VIP,4,0,0,1,0,0,907.32,gmail.com
595,Ananya,Desai,ananya.desai595@gmail.com,9435103556,Female,1981-01-24,2025-03-02,2215,44,36-45,305,10.2,0.84,2025,1,March,Sunday,1,VIP,4,0,0,1,0,1,2605.88,gmail.com
596,Aarav,Desai,aarav.desai596@gmail.com,9157221185,Male,1992-11-25,2024-06-12,2446,33,26-35,568,18.9,1.56,2024,2,June,Wednesday,0,VIP,4,0,0,1,0,0,1557.96,gmail.com
597,Diya,Mehta,diya.mehta597@gmail.com,9557225535,Male,1970-07-03,2022-11-12,2233,55,46-60,1146,38.2,3.14,2022,4,November,Saturday,1,VIP,4,0,0,0,0,0,708.89,gmail.com
598,Krishna,Desai,krishna.desai598@gmail.com,9229341468,Male,1981-04-02,2022-10-20,4270,44,36-45,1169,39.0,3.2,2022,4,October,Thursday,0,VIP,4,0,0,1,0,0,1330.22,gmail.com
599,Aarav,Desai,aarav.desai599@gmail.com,9626235871,Male,1990-01-01,2025-02-01,1156,36,36-45,334,11.1,0.92,2025,1,February,Saturday,1,VIP,4,0,0,1,0,1,1243.01,gmail.com
600,Krishna,Bhatt,krishna.bhatt600@gmail.com,9561417930,Female,1975-05-09,2025-06-13,3104,50,46-60,202,6.7,0.55,2025,2,June,Friday,0,VIP,4,0,0,0,0,1,5542.86,gmail.com
601,Neha,Bhatt,neha.bhatt601@gmail.com,9351598879,Male,1990-02-23,2025-08-21,2108,35,26-35,133,4.4,0.36,2025,3,August,Thursday,0,VIP,4,0,0,1,0,1,5697.3,gmail.com
602,Riya,Shah,riya.shah602@gmail.com,9915131769,Male,1996-11-25,2022-11-19,4505,29,26-35,1139,38.0,3.12,2022,4,November,Saturday,1,VIP,4,0,0,1,0,0,1439.3,gmail.com
603,Priya,Shah,priya.shah603@gmail.com,9545648448,Female,1989-03-03,2021-06-05,1755,36,36-45,1671,55.7,4.58,2021,2,June,Saturday,1,VIP,4,0,0,1,0,0,382.35,gmail.com
604,Aarav,Gupta,aarav.gupta604@gmail.com,9105501362,Female,2005-06-08,2024-04-27,509,20,18-25,614,20.5,1.68,2024,2,April,Saturday,1,High,3,0,1,0,0,0,301.18,gmail.com
605,Vivaan,Modi,vivaan.modi605@gmail.com,9458905875,Female,1978-01-05,2021-07-02,757,48,46-60,1644,54.8,4.5,2021,3,July,Friday,0,High,3,0,0,0,0,0,167.85,gmail.com
606,Ananya,Mehta,ananya.mehta606@gmail.com,9653799518,Male,1973-07-23,2023-11-21,2023,52,46-60,772,25.7,2.12,2023,4,November,Tuesday,0,VIP,4,0,0,0,0,0,949.77,gmail.com
607,Aditya,Desai,aditya.desai607@gmail.com,9618448961,Female,1978-02-10,2020-10-09,1708,47,46-60,1910,63.7,5.23,2020,4,October,Friday,0,VIP,4,0,0,0,1,0,325.95,gmail.com
608,Arjun,Desai,arjun.desai608@gmail.com,9845978200,Female,2005-03-28,2024-09-11,3762,20,18-25,477,15.9,1.31,2024,3,September,Wednesday,0,VIP,4,0,1,0,0,0,2850.0,gmail.com
609,Vivaan,Trivedi,vivaan.trivedi609@gmail.com,9320298160,Male,2002-02-11,2022-07-19,2989,23,18-25,1262,42.1,3.46,2022,3,July,Tuesday,0,VIP,4,0,1,0,0,0,861.38,gmail.com
610,Ananya,Bhatt,ananya.bhatt610@gmail.com,9436942881,Male,2000-03-01,2021-06-20,4436,25,18-25,1656,55.2,4.54,2021,2,June,Sunday,1,VIP,4,0,1,0,0,0,974.95,gmail.com
611,Vivaan,Trivedi,vivaan.trivedi611@gmail.com,9372532916,Female,1986-03-11,2021-04-30,2827,39,36-45,1707,56.9,4.68,2021,2,April,Friday,0,VIP,4,0,0,1,0,0,602.77,gmail.com
612,Priya,Trivedi,priya.trivedi612@gmail.com,9715572308,Female,1979-11-10,2021-04-09,3620,46,46-60,1728,57.6,4.73,2021,2,April,Friday,0,VIP,4,0,0,0,0,0,763.71,gmail.com
613,Krishna,Joshi,krishna.joshi613@gmail.com,9234240653,Male,1979-05-16,2024-01-19,4903,46,46-60,713,23.8,1.95,2024,1,January,Friday,0,VIP,4,0,0,0,0,0,2501.53,gmail.com
614,Neha,Desai,neha.desai614@gmail.com,9978378033,Female,2004-09-11,2025-02-08,183,21,18-25,327,10.9,0.9,2025,1,February,Saturday,1,Medium,2,0,1,0,0,1,201.1,gmail.com
615,Diya,Shah,diya.shah615@gmail.com,9934623654,Female,1992-08-04,2021-09-11,563,33,26-35,1573,52.4,4.31,2021,3,September,Saturday,1,High,3,0,0,1,0,0,130.32,gmail.com
616,Diya,Shah,diya.shah616@gmail.com,9343428781,Male,2002-06-10,2021-04-18,2300,23,18-25,1719,57.3,4.71,2021,2,April,Sunday,1,VIP,4,0,1,0,0,0,487.29,gmail.com
617,Krishna,Trivedi,krishna.trivedi617@gmail.com,9957889049,Male,1985-05-18,2022-05-25,2934,40,36-45,1317,43.9,3.61,2022,2,May,Wednesday,0,VIP,4,0,0,1,0,0,810.5,gmail.com
618,Vivaan,Kapoor,vivaan.kapoor618@gmail.com,9778358298,Male,1994-08-12,2021-12-25,2788,31,26-35,1468,48.9,4.02,2021,4,December,Saturday,1,VIP,4,0,0,1,0,0,691.81,gmail.com
619,Ananya,Gupta,ananya.gupta619@gmail.com,9361114744,Female,1977-03-08,2021-08-22,4181,48,46-60,1593,53.1,4.36,2021,3,August,Sunday,1,VIP,4,0,0,0,0,0,956.75,gmail.com
620,Krishna,Joshi,krishna.joshi620@gmail.com,9816971810,Male,1996-07-09,2022-10-02,4182,29,26-35,1187,39.6,3.25,2022,4,October,Sunday,1,VIP,4,0,0,1,0,0,1282.82,gmail.com
621,Diya,Kapoor,diya.kapoor621@gmail.com,9388433805,Female,1984-12-01,2022-07-10,1324,41,36-45,1271,42.4,3.48,2022,3,July,Sunday,1,VIP,4,0,0,1,0,0,379.37,gmail.com
622,Riya,Kapoor,riya.kapoor622@gmail.com,9967707838,Female,1989-11-24,2023-01-31,3271,36,36-45,1066,35.5,2.92,2023,1,January,Tuesday,0,VIP,4,0,0,1,0,0,1116.38,gmail.com
623,Riya,Patel,riya.patel623@gmail.com,9784139825,Female,1989-01-22,2024-06-11,3297,36,36-45,569,19.0,1.56,2024,2,June,Tuesday,0,VIP,4,0,0,1,0,0,2100.0,gmail.com
624,Ananya,Kapoor,ananya.kapoor624@gmail.com,9115433876,Female,1991-12-07,2024-09-09,2948,34,26-35,479,16.0,1.31,2024,3,September,Monday,0,VIP,4,0,0,1,0,0,2233.33,gmail.com
625,Ananya,Desai,ananya.desai625@gmail.com,9805668235,Male,1987-02-22,2021-05-19,4703,38,36-45,1688,56.3,4.62,2021,2,May,Wednesday,0,VIP,4,0,0,1,0,0,1015.77,gmail.com
626,Priya,Patel,priya.patel626@gmail.com,9335872520,Male,2000-05-08,2024-07-24,1661,25,18-25,526,17.5,1.44,2024,3,July,Wednesday,0,VIP,4,0,1,0,0,0,1145.52,gmail.com
627,Vivaan,Desai,vivaan.desai627@gmail.com,9133591955,Female,1980-09-14,2023-03-07,4017,45,36-45,1031,34.4,2.82,2023,1,March,Tuesday,0,VIP,4,0,0,1,0,0,1419.43,gmail.com
628,Aarav,Desai,aarav.desai628@gmail.com,9237351897,Female,1982-12-23,2021-10-24,923,43,36-45,1530,51.0,4.19,2021,4,October,Sunday,1,High,3,0,0,1,0,0,219.76,gmail.com
629,Vivaan,Bhatt,vivaan.bhatt629@gmail.com,9898016867,Male,1998-07-13,2024-10-04,194,27,26-35,454,15.1,1.24,2024,4,October,Friday,0,Medium,2,0,0,1,0,0,155.2,gmail.com
630,Krishna,Joshi,krishna.joshi630@gmail.com,9603149866,Male,1976-09-11,2024-06-23,1295,49,46-60,557,18.6,1.53,2024,2,June,Sunday,1,VIP,4,0,0,0,0,0,840.91,gmail.com
631,Priya,Modi,priya.modi631@gmail.com,9147566384,Male,1998-12-12,2025-04-14,3861,27,26-35,262,8.7,0.72,2025,2,April,Monday,0,VIP,4,0,0,1,0,1,5289.04,gmail.com
632,Ananya,Kapoor,ananya.kapoor632@gmail.com,9934244987,Female,1993-06-13,2025-07-05,589,32,26-35,180,6.0,0.49,2025,3,July,Saturday,1,High,3,0,0,1,0,1,1178.0,gmail.com
633,Krishna,Bhatt,krishna.bhatt633@gmail.com,9968906553,Male,1992-05-28,2020-02-28,4603,33,26-35,2134,71.1,5.85,2020,1,February,Friday,0,VIP,4,0,0,1,1,0,785.49,gmail.com
634,Priya,Shah,priya.shah634@gmail.com,9327390784,Female,2002-07-04,2020-08-15,2014,23,18-25,1965,65.5,5.38,2020,3,August,Saturday,1,VIP,4,0,1,0,1,0,373.65,gmail.com
635,Aditya,Kapoor,aditya.kapoor635@gmail.com,9605581662,Female,1987-12-17,2022-10-21,3387,38,36-45,1168,38.9,3.2,2022,4,October,Friday,0,VIP,4,0,0,1,0,0,1055.14,gmail.com
636,Aarav,Modi,aarav.modi636@gmail.com,9408627042,Female,1987-02-10,2022-08-07,631,38,36-45,1243,41.4,3.41,2022,3,August,Sunday,1,High,3,0,0,1,0,0,184.5,gmail.com
637,Diya,Mehta,diya.mehta637@gmail.com,9252575793,Female,1981-12-03,2025-08-13,3076,44,36-45,141,4.7,0.39,2025,3,August,Wednesday,0,VIP,4,0,0,1,0,1,7690.0,gmail.com
638,Diya,Trivedi,diya.trivedi638@gmail.com,9710486700,Female,1997-12-17,2023-12-26,2173,28,26-35,737,24.6,2.02,2023,4,December,Tuesday,0,VIP,4,0,0,1,0,0,1070.44,gmail.com
639,Riya,Gupta,riya.gupta639@gmail.com,9973184520,Male,1977-12-14,2023-01-26,1929,48,46-60,1071,35.7,2.93,2023,1,January,Thursday,0,VIP,4,0,0,0,0,0,656.12,gmail.com
640,Krishna,Bhatt,krishna.bhatt640@gmail.com,9636099126,Female,1997-01-06,2021-06-02,718,29,26-35,1674,55.8,4.59,2021,2,June,Wednesday,0,High,3,0,0,1,0,0,156.09,gmail.com
641,Aarav,Mehta,aarav.mehta641@gmail.com,9332420954,Male,1995-01-08,2023-01-12,1883,31,26-35,1085,36.2,2.97,2023,1,January,Thursday,0,VIP,4,0,0,1,0,0,631.88,gmail.com
642,Riya,Kapoor,riya.kapoor642@gmail.com,9138419639,Male,1998-02-16,2025-01-10,3822,27,26-35,356,11.9,0.98,2025,1,January,Friday,0,VIP,4,0,0,1,0,1,3860.61,gmail.com
643,Neha,Trivedi,neha.trivedi643@gmail.com,9693987161,Male,1995-06-27,2024-06-12,976,30,26-35,568,18.9,1.56,2024,2,June,Wednesday,0,High,3,0,0,1,0,0,621.66,gmail.com
644,Vivaan,Mehta,vivaan.mehta644@gmail.com,9925647554,Female,1978-04-09,2023-05-04,3045,47,46-60,973,32.4,2.67,2023,2,May,Thursday,0,VIP,4,0,0,0,0,0,1136.19,gmail.com
645,Riya,Desai,riya.desai645@gmail.com,9699223466,Male,1992-10-06,2024-05-16,427,33,26-35,595,19.8,1.63,2024,2,May,Thursday,0,Medium,2,0,0,1,0,0,260.37,gmail.com
646,Diya,Bhatt,diya.bhatt646@gmail.com,9742175691,Male,1994-10-11,2022-07-31,203,31,26-35,1250,41.7,3.42,2022,3,July,Sunday,1,Medium,2,0,0,1,0,0,59.18,gmail.com
647,Aarav,Shah,aarav.shah647@gmail.com,9948135431,Male,1972-10-19,2021-06-13,1409,53,46-60,1663,55.4,4.56,2021,2,June,Sunday,1,VIP,4,0,0,0,0,0,308.32,gmail.com
648,Vivaan,Joshi,vivaan.joshi648@gmail.com,9647961262,Male,1977-04-14,2022-11-27,3330,48,46-60,1131,37.7,3.1,2022,4,November,Sunday,1,VIP,4,0,0,0,0,0,1070.74,gmail.com
649,Priya,Shah,priya.shah649@gmail.com,9554666891,Female,1993-05-26,2022-06-06,1425,32,26-35,1305,43.5,3.58,2022,2,June,Monday,0,VIP,4,0,0,1,0,0,396.94,gmail.com
650,Riya,Modi,riya.modi650@gmail.com,9934666664,Male,1989-05-20,2021-02-15,874,36,36-45,1781,59.4,4.88,2021,1,February,Monday,0,High,3,0,0,1,0,0,178.73,gmail.com
651,Aarav,Gupta,aarav.gupta651@gmail.com,9271907915,Female,1980-05-20,2025-08-28,3214,45,36-45,126,4.2,0.35,2025,3,August,Thursday,0,VIP,4,0,0,1,0,1,8927.78,gmail.com
652,Arjun,Mehta,arjun.mehta652@gmail.com,9893535599,Female,1976-03-22,2023-11-21,3700,49,46-60,772,25.7,2.12,2023,4,November,Tuesday,0,VIP,4,0,0,0,0,0,1737.09,gmail.com
653,Arjun,Gupta,arjun.gupta653@gmail.com,9848689780,Female,1989-07-20,2022-10-17,2541,36,36-45,1172,39.1,3.21,2022,4,October,Monday,0,VIP,4,0,0,1,0,0,789.13,gmail.com
654,Aarav,Mehta,aarav.mehta654@gmail.com,9688044470,Male,1981-08-22,2022-03-02,2716,44,36-45,1401,46.7,3.84,2022,1,March,Wednesday,0,VIP,4,0,0,1,0,0,705.45,gmail.com
655,Arjun,Trivedi,arjun.trivedi655@gmail.com,9263767227,Male,2004-10-22,2024-12-02,3496,21,18-25,395,13.2,1.08,2024,4,December,Monday,0,VIP,4,0,1,0,0,0,3207.34,gmail.com
656,Diya,Mehta,diya.mehta656@gmail.com,9271735707,Female,2002-09-11,2021-07-16,2704,23,18-25,1630,54.3,4.47,2021,3,July,Friday,0,VIP,4,0,1,0,0,0,603.57,gmail.com
657,Vivaan,Joshi,vivaan.joshi657@gmail.com,9522076088,Male,2001-08-20,2021-10-26,2790,24,18-25,1528,50.9,4.19,2021,4,October,Tuesday,0,VIP,4,0,1,0,0,0,664.29,gmail.com
658,Diya,Bhatt,diya.bhatt658@gmail.com,9573703512,Male,1989-12-21,2025-07-28,3781,36,36-45,157,5.2,0.43,2025,3,July,Monday,0,VIP,4,0,0,1,0,1,8593.18,gmail.com
659,Aarav,Shah,aarav.shah659@gmail.com,9489206268,Male,1983-07-20,2025-10-16,764,42,36-45,77,2.6,0.21,2025,4,October,Thursday,0,High,3,0,0,1,0,1,3472.73,gmail.com
660,Diya,Desai,diya.desai660@gmail.com,9547559942,Female,2001-06-02,2024-06-10,922,24,18-25,570,19.0,1.56,2024,2,June,Monday,0,High,3,0,1,0,0,0,587.26,gmail.com
661,Riya,Gupta,riya.gupta661@gmail.com,9657625707,Male,1986-10-03,2021-12-31,4435,39,36-45,1462,48.7,4.01,2021,4,December,Friday,0,VIP,4,0,0,1,0,0,1103.23,gmail.com
662,Diya,Trivedi,diya.trivedi662@gmail.com,9961215566,Female,1974-08-11,2021-12-08,1803,51,46-60,1485,49.5,4.07,2021,4,December,Wednesday,0,VIP,4,0,0,0,0,0,441.91,gmail.com
663,Arjun,Desai,arjun.desai663@gmail.com,9287734335,Male,1984-07-16,2022-02-23,2700,41,36-45,1408,46.9,3.86,2022,1,February,Wednesday,0,VIP,4,0,0,1,0,0,697.67,gmail.com
664,Aarav,Gupta,aarav.gupta664@gmail.com,9445748210,Female,1982-06-14,2023-01-07,2607,43,36-45,1090,36.3,2.99,2023,1,January,Saturday,1,VIP,4,0,0,1,0,0,869.0,gmail.com
665,Diya,Bhatt,diya.bhatt665@gmail.com,9564816205,Male,1970-01-16,2023-04-01,704,55,46-60,1006,33.5,2.76,2023,2,April,Saturday,1,High,3,0,0,0,0,0,254.15,gmail.com
666,Riya,Modi,riya.modi666@gmail.com,9905250213,Male,1972-07-06,2023-05-03,286,53,46-60,974,32.5,2.67,2023,2,May,Wednesday,0,Medium,2,0,0,0,0,0,106.72,gmail.com
667,Krishna,Shah,krishna.shah667@gmail.com,9702097238,Female,1987-09-10,2025-04-29,421,38,36-45,247,8.2,0.68,2025,2,April,Tuesday,0,Medium,2,0,0,1,0,1,610.14,gmail.com
668,Neha,Mehta,neha.mehta668@gmail.com,9728445479,Female,1986-01-04,2020-12-30,3265,40,36-45,1828,60.9,5.01,2020,4,December,Wednesday,0,VIP,4,0,0,1,1,0,650.4,gmail.com
669,Arjun,Joshi,arjun.joshi669@gmail.com,9431163017,Male,1985-07-16,2022-08-04,2945,40,36-45,1246,41.5,3.41,2022,3,August,Thursday,0,VIP,4,0,0,1,0,0,861.11,gmail.com
670,Ananya,Gupta,ananya.gupta670@gmail.com,9805715739,Male,1979-09-13,2020-11-05,4994,46,46-60,1883,62.8,5.16,2020,4,November,Thursday,0,VIP,4,0,0,0,1,0,965.96,gmail.com
671,Aarav,Joshi,aarav.joshi671@gmail.com,9359023586,Male,1987-01-09,2025-07-28,2835,39,36-45,157,5.2,0.43,2025,3,July,Monday,0,VIP,4,0,0,1,0,1,6443.18,gmail.com
672,Ananya,Joshi,ananya.joshi672@gmail.com,9364778608,Male,2000-07-23,2025-03-10,3774,25,18-25,297,9.9,0.81,2025,1,March,Monday,0,VIP,4,0,1,0,0,1,4602.44,gmail.com
673,Aditya,Desai,aditya.desai673@gmail.com,9382301183,Male,1988-09-09,2022-01-03,4182,37,36-45,1459,48.6,4.0,2022,1,January,Monday,0,VIP,4,0,0,1,0,0,1042.89,gmail.com
674,Vivaan,Trivedi,vivaan.trivedi674@gmail.com,9959493194,Male,2004-05-24,2025-06-15,3661,21,18-25,200,6.7,0.55,2025,2,June,Sunday,1,VIP,4,0,1,0,0,1,6537.5,gmail.com
675,Krishna,Patel,krishna.patel675@gmail.com,9525882849,Male,1983-01-19,2024-03-03,4020,42,36-45,669,22.3,1.83,2024,1,March,Sunday,1,VIP,4,0,0,1,0,0,2184.78,gmail.com
676,Krishna,Bhatt,krishna.bhatt676@gmail.com,9326206122,Male,1999-01-20,2020-06-11,4122,26,26-35,2030,67.7,5.56,2020,2,June,Thursday,0,VIP,4,0,0,1,1,0,740.04,gmail.com
677,Priya,Kapoor,priya.kapoor677@gmail.com,9530154421,Female,1989-12-13,2024-03-08,4029,36,36-45,664,22.1,1.82,2024,1,March,Friday,0,VIP,4,0,0,1,0,0,2201.64,gmail.com
678,Arjun,Trivedi,arjun.trivedi678@gmail.com,9532347413,Male,1983-10-25,2021-02-11,3619,42,36-45,1785,59.5,4.89,2021,1,February,Thursday,0,VIP,4,0,0,1,0,0,738.57,gmail.com
679,Arjun,Trivedi,arjun.trivedi679@gmail.com,9730883478,Male,2002-06-13,2021-05-19,21,23,18-25,1688,56.3,4.62,2021,2,May,Wednesday,0,Low,1,0,1,0,0,0,4.54,gmail.com
680,Ananya,Patel,ananya.patel680@gmail.com,9617693962,Female,2002-08-18,2023-06-06,3360,23,18-25,940,31.3,2.58,2023,2,June,Tuesday,0,VIP,4,0,1,0,0,0,1297.3,gmail.com
681,Vivaan,Bhatt,vivaan.bhatt681@gmail.com,9464447505,Female,1997-12-23,2025-02-18,2052,28,26-35,317,10.6,0.87,2025,1,February,Tuesday,0,VIP,4,0,0,1,0,1,2331.82,gmail.com
682,Vivaan,Modi,vivaan.modi682@gmail.com,9298130541,Male,1993-07-23,2023-07-17,3713,32,26-35,899,30.0,2.46,2023,3,July,Monday,0,VIP,4,0,0,1,0,0,1503.24,gmail.com
683,Vivaan,Joshi,vivaan.joshi683@gmail.com,9621458860,Male,1989-09-16,2022-06-02,1885,36,36-45,1309,43.6,3.59,2022,2,June,Thursday,0,VIP,4,0,0,1,0,0,523.61,gmail.com
684,Krishna,Trivedi,krishna.trivedi684@gmail.com,9152884332,Male,1988-01-18,2022-01-04,3221,37,36-45,1458,48.6,3.99,2022,1,January,Tuesday,0,VIP,4,0,0,1,0,0,805.25,gmail.com
685,Aarav,Trivedi,aarav.trivedi685@gmail.com,9670767489,Female,1973-04-17,2023-02-02,700,52,46-60,1064,35.5,2.92,2023,1,February,Thursday,0,High,3,0,0,0,0,0,238.91,gmail.com
686,Vivaan,Gupta,vivaan.gupta686@gmail.com,9848496387,Male,1988-07-09,2022-04-23,1990,37,36-45,1349,45.0,3.7,2022,2,April,Saturday,1,VIP,4,0,0,1,0,0,536.39,gmail.com
687,Aarav,Mehta,aarav.mehta687@gmail.com,9838471798,Male,2000-12-01,2023-05-06,971,25,18-25,971,32.4,2.66,2023,2,May,Saturday,1,High,3,0,1,0,0,0,363.67,gmail.com
688,Aditya,Kapoor,aditya.kapoor688@gmail.com,9297635545,Male,1997-04-15,2025-06-05,1112,28,26-35,210,7.0,0.58,2025,2,June,Thursday,0,VIP,4,0,0,1,0,1,1884.75,gmail.com
689,Riya,Shah,riya.shah689@gmail.com,9357295416,Male,2004-03-02,2021-09-30,4231,21,18-25,1554,51.8,4.26,2021,3,September,Thursday,0,VIP,4,0,1,0,0,0,990.87,gmail.com
690,Riya,Bhatt,riya.bhatt690@gmail.com,9959036704,Male,1973-11-14,2024-11-16,2315,52,46-60,411,13.7,1.13,2024,4,November,Saturday,1,VIP,4,0,0,0,0,0,2030.7,gmail.com
691,Ananya,Gupta,ananya.gupta691@gmail.com,9809323297,Male,1986-08-12,2025-02-01,1932,39,36-45,334,11.1,0.92,2025,1,February,Saturday,1,VIP,4,0,0,1,0,1,2077.42,gmail.com
692,Priya,Bhatt,priya.bhatt692@gmail.com,9866929321,Female,1972-02-10,2023-06-03,1644,53,46-60,943,31.4,2.58,2023,2,June,Saturday,1,VIP,4,0,0,0,0,0,634.75,gmail.com
693,Diya,Desai,diya.desai693@gmail.com,9576730710,Female,1970-03-10,2023-10-25,1457,55,46-60,799,26.6,2.19,2023,4,October,Wednesday,0,VIP,4,0,0,0,0,0,662.27,gmail.com
694,Ananya,Shah,ananya.shah694@gmail.com,9665820121,Male,1994-08-25,2021-09-17,723,31,26-35,1567,52.2,4.29,2021,3,September,Friday,0,High,3,0,0,1,0,0,168.14,gmail.com
695,Diya,Bhatt,diya.bhatt695@gmail.com,9183048066,Female,1972-07-10,2026-01-14,3957,53,46-60,-13,-0.4,-0.04,2026,1,January,Wednesday,0,VIP,4,0,0,0,0,1,-131900.0,gmail.com
696,Vivaan,Bhatt,vivaan.bhatt696@gmail.com,9753573922,Male,1971-12-15,2025-03-16,1922,54,46-60,291,9.7,0.8,2025,1,March,Sunday,1,VIP,4,0,0,0,0,1,2372.84,gmail.com
697,Vivaan,Desai,vivaan.desai697@gmail.com,9722850811,Male,1972-09-10,2024-08-22,1528,53,46-60,497,16.6,1.36,2024,3,August,Thursday,0,VIP,4,0,0,0,0,0,1115.33,gmail.com
698,Vivaan,Shah,vivaan.shah698@gmail.com,9258304050,Male,1989-12-26,2020-11-27,1672,36,36-45,1861,62.0,5.1,2020,4,November,Friday,0,VIP,4,0,0,1,1,0,327.2,gmail.com
699,Neha,Gupta,neha.gupta699@gmail.com,9841615506,Female,1986-12-05,2023-08-16,1391,39,36-45,869,29.0,2.38,2023,3,August,Wednesday,0,VIP,4,0,0,1,0,0,582.01,gmail.com
700,Riya,Bhatt,riya.bhatt700@gmail.com,9526899913,Female,1988-12-06,2025-09-15,158,37,36-45,108,3.6,0.3,2025,3,September,Monday,0,Medium,2,0,0,1,0,1,509.68,gmail.com
701,Ananya,Bhatt,ananya.bhatt701@gmail.com,9953662502,Female,1989-03-07,2020-05-23,2367,36,36-45,2049,68.3,5.61,2020,2,May,Saturday,1,VIP,4,0,0,1,1,0,421.17,gmail.com
702,Vivaan,Desai,vivaan.desai702@gmail.com,9924713421,Male,1975-02-16,2021-11-29,4120,50,46-60,1494,49.8,4.09,2021,4,November,Monday,0,VIP,4,0,0,0,0,0,1004.88,gmail.com
703,Riya,Joshi,riya.joshi703@gmail.com,9605317572,Male,1985-08-13,2022-11-18,300,40,36-45,1140,38.0,3.12,2022,4,November,Friday,0,Medium,2,0,0,1,0,0,95.85,gmail.com
704,Priya,Desai,priya.desai704@gmail.com,9496829420,Male,1979-03-25,2025-02-22,4722,46,46-60,313,10.4,0.86,2025,1,February,Saturday,1,VIP,4,0,0,0,0,1,5427.59,gmail.com
705,Aarav,Trivedi,aarav.trivedi705@gmail.com,9259491047,Female,1999-03-10,2022-05-13,3915,26,26-35,1329,44.3,3.64,2022,2,May,Friday,0,VIP,4,0,0,1,0,0,1072.6,gmail.com
706,Krishna,Bhatt,krishna.bhatt706@gmail.com,9394522699,Female,1991-04-08,2023-09-01,2373,34,26-35,853,28.4,2.34,2023,3,September,Friday,0,VIP,4,0,0,1,0,0,1009.79,gmail.com
707,Vivaan,Kapoor,vivaan.kapoor707@gmail.com,9602426731,Male,1996-01-06,2022-04-24,1207,30,26-35,1348,44.9,3.69,2022,2,April,Sunday,1,VIP,4,0,0,1,0,0,326.22,gmail.com
708,Diya,Trivedi,diya.trivedi708@gmail.com,9352744627,Male,2005-01-18,2025-06-22,4011,20,18-25,193,6.4,0.53,2025,2,June,Sunday,1,VIP,4,0,1,0,0,1,7427.78,gmail.com
709,Neha,Trivedi,neha.trivedi709@gmail.com,9769681386,Male,1981-10-15,2021-09-03,3271,44,36-45,1581,52.7,4.33,2021,3,September,Friday,0,VIP,4,0,0,1,0,0,753.69,gmail.com
710,Riya,Bhatt,riya.bhatt710@gmail.com,9395323733,Female,1976-12-19,2022-04-03,4518,49,46-60,1369,45.6,3.75,2022,2,April,Sunday,1,VIP,4,0,0,0,0,0,1201.6,gmail.com
711,Riya,Shah,riya.shah711@gmail.com,9221178736,Male,1974-08-16,2026-03-29,2083,51,46-60,-87,-2.9,-0.24,2026,1,March,Sunday,1,VIP,4,0,0,0,0,1,-9056.52,gmail.com
712,Aditya,Kapoor,aditya.kapoor712@gmail.com,9457475526,Male,1984-04-27,2020-03-16,3348,41,36-45,2117,70.6,5.8,2020,1,March,Monday,0,VIP,4,0,0,1,1,0,576.25,gmail.com
713,Aarav,Shah,aarav.shah713@gmail.com,9661822033,Male,1989-11-04,2020-03-29,2982,36,36-45,2104,70.1,5.76,2020,1,March,Sunday,1,VIP,4,0,0,1,1,0,516.81,gmail.com
714,Priya,Trivedi,priya.trivedi714@gmail.com,9484005876,Female,2001-08-04,2021-10-20,1232,24,18-25,1534,51.1,4.2,2021,4,October,Wednesday,0,VIP,4,0,1,0,0,0,292.64,gmail.com
715,Neha,Modi,neha.modi715@gmail.com,9101514769,Male,1970-10-03,2025-07-30,1113,55,46-60,155,5.2,0.42,2025,3,July,Wednesday,0,VIP,4,0,0,0,0,1,2588.37,gmail.com
716,Aditya,Joshi,aditya.joshi716@gmail.com,9324635598,Female,1977-02-01,2021-11-08,4678,48,46-60,1515,50.5,4.15,2021,4,November,Monday,0,VIP,4,0,0,0,0,0,1124.52,gmail.com
717,Vivaan,Patel,vivaan.patel717@gmail.com,9134192384,Female,1996-11-26,2020-03-12,2745,29,26-35,2121,70.7,5.81,2020,1,March,Thursday,0,VIP,4,0,0,1,1,0,471.65,gmail.com
718,Diya,Mehta,diya.mehta718@gmail.com,9536233493,Female,1990-11-13,2020-12-05,2900,35,26-35,1853,61.8,5.08,2020,4,December,Saturday,1,VIP,4,0,0,1,1,0,569.74,gmail.com
719,Aditya,Kapoor,aditya.kapoor719@gmail.com,9254901416,Female,1972-02-10,2021-10-06,1594,53,46-60,1548,51.6,4.24,2021,4,October,Wednesday,0,VIP,4,0,0,0,0,0,375.06,gmail.com
720,Ananya,Desai,ananya.desai720@gmail.com,9353214924,Male,1974-10-05,2021-03-27,2953,51,46-60,1741,58.0,4.77,2021,1,March,Saturday,1,VIP,4,0,0,0,0,0,617.78,gmail.com
